prompt,completion
and I'm sorry about the wait in the waiting well it's been it's bad form you know yeah yeah that's and that that's not easy for you because you you'd like to go really soon and Here I am asking you to spend just a couple of minutes with me,Reflections on Needs
It sounds like you are trying to come up with a solution that might help you feel more comfortable going to Black Friday with your friends. Can you tell me more about what kind of image you are thinking of creating? How do you think it could help you feel less anxious?,Reflections on Needs
That's really interesting. It sounds like you've found a way to incorporate something that brings you calmness and peacefulness into the experience of going to Black Friday with your friends. How do you think having this image with you will help during the event?,Reflections on Needs
"Great, I see your prescription for insulin is due for a refill. Can you confirm the dosage and frequency you've been taking? Have you noticed any changes or issues with your insulin use since the last refill?",Reflections on Needs
"I understand where you're coming from. It sounds like you have a fear of failure and disappointment, but it's important to remember that quitting smoking is not about pleasing other people, it's about taking care of your own health and wellbeing. It's okay to have fears and doubts, but we can work together to find ways to overcome them and build your confidence. Is there anything specific that is making you feel unprepared or unsure about quitting?",Reflections on Needs
"I see, it sounds like your sister's health concerns have raised some awareness for you about your own weight and potential health risks. How has this been affecting you emotionally and mentally? Have you been feeling anxious or worried about your own health?",Reflections on Needs
"Okay, it seems like losing weight and getting healthy is really important to you right now. Let's talk about some steps you can take to get started. What are some healthy habits or changes you can make to your lifestyle?",Reflections on Needs
"Okay, that makes a lot of sense. It sounds like learning more about how to use gym equipment could really boost your confidence. Have you thought about maybe scheduling a session with a personal trainer who can show you how to use different machines and equipment? That could be a great place to start and help you feel more comfortable in the gym. Additionally, are there any other areas where you feel like you need some support or guidance in your weight loss journey?",Reflections on Needs
"okay well it sounds like alcohol is something that is a part of your social scene and you seem to have a good sense of when it's appropriate to drink and when it's not. However, I do want to make sure that you're being safe when you do choose to drink. Are you aware of the risks and consequences that can come with drinking too much or too frequently?",Reflections on Needs
okay so it sounds like you've had that experience yourself and it wasn't a very pleasant experience and you've learned from it but you still have friends who perhaps drink too much and require some care-taking and that can be difficult for you to handle at times. It seems like you're aware of the risks and you're trying to be as safe as possible but there's still some challenges that come up with drinking. Would you say that's accurate?,Reflections on Needs
"that can be really uncomfortable for you. Okay, well it seems like you have a really good understanding of sort of the positives and negatives of alcohol in your social scene and that you're trying to be safe and responsible about it. But it also seems like there are some concerns that you have about when things might go too far or when you end up having to take care of your friends. So is that something that you want to talk more about or is there something else that's been on your mind?",Reflections on Needs
"Okay, it sounds like you're keeping a balance and trying to really be thoughtful about your own safety and wellbeing while still being able to enjoy yourself. It's good to hear that you're looking out for yourself and trying to make choices that respect your own boundaries and safety.",Reflections on Needs
okay well I appreciate you bringing it up it's true many people diabetes find it hard to add exercise to your life especially when their busy schedules it must seem overwhelming to have to fit exercise into your life when you have so many other priorities,Normalizing
yeah and I can totally understand how you get to there if you're thinking I'm feeling fat I'm going to get fat you know it's an easy place to get to okay,Normalizing
mm-hmm well you're right there for multiple walks of life and they share their drinking stories and everyone just kind of helps each other through this journey if you can so prayer together,Normalizing
so you felt fatigued and somewhat depressed while you were on the Atkins diet that's something I hear not yeah pretty it's pretty often I think that if it's okay we could talk about that for a minute if that's something,Normalizing
yeah I get it like we've all been there okay you know I was in high school once - you know I drank - I get it there's not a ton to do in this town and kids drink but you know promise we have these rules and you're on a team you have to stick by the rules,Normalizing
yeah you don't look terribly overweight but according to the the charts there it's in the overweight category so you're actually getting you into the normal category would be about a loss of about  to  pounds,Normalizing
no it's actually fairly common but I appreciate you sharing this with I know it's difficult say I'm going to continue on some some other questions appreciate your patience all these these questions and you've been forthcoming with your answers I want to ask you some questions about a possible mood disturbances because this event do you ever find yourself unable to remember having trouble would remember important aspects of the trauma how about negative beliefs or expectations about yourself or others maybe kind of changing your attitude and the way you're relating to the world or yourself if you find yourself having distorted thinking that we kind of blame kind of blame yourself even though you clearly weren't responsible for it,Normalizing
but we know we know that's an area that did you know you can't really make a change right now what you're saying like us the idea of stopping chocolate is not going over well with you know it's not gonna happen and that's fine but the idea of stopping skittles that's fine that doesn't seem as daunting no,Normalizing
like everybody everybody does you know things that are wrong I mean what differences in range,Normalizing
yeah peaking definitely outside I can just can't imagine the feeling so I'm sorry you had to experience that,Normalizing
well I'm sorry to hear that,Normalizing
and I'm sorry about the wait in the waiting well it's been it's bad form you know yeah yeah that's and that that's not easy for you because you you'd like to go really soon and Here I am asking you to spend just a couple of minutes with me,Normalizing
okay well hopefully you won't have any issues like that with this one I'll be sure to go over this with you okay,Normalizing
of regularly great alright if anything else comes up at all our numbers right here on the bottle give us a call again my name is Dave and I'd be happy to help you any of the other pharmacists would also be willing to help you as well just in case I'm not in so go ahead and give us a call,Normalizing
maybe there'll be things you'll feel good about later you won't have to worry about that guilty feeling coming back,Normalizing
um telling me would have been great but that's okay I mean you had a concern about a medication that you dread some things about and you stopped the medication I think that's a good thing that's a good decision,Normalizing
you can do it trust me you can do it,Normalizing
don't worry Tim I am the therapist here,Normalizing
okay I mean I totally understand that that's a difficult subject to talk about and it's completely up to you I just would like to talk about it with you because I do think and have some magnificent on your health today I'm worried about how it's affecting you in your day-to-day life would it be okay if we talk about your health issues and we can kind of slowly talk about it get into that will take a while we keep making a squeaker as long as you want this is your time and we're here for you,Normalizing
okay I mean I totally understand that that's a difficult subject to talk about and it's completely up to you I just would like to talk about it with you because I do think and have some magnificent on your health today I'm worried about how it's affecting you in your day-to-day life would it be okay if we talk about your health issues and we can kind of slowly talk about it get into that will take a while we keep making a squeaker as long as you want this is your time and we're here for you,Normalizing
I know I mean I know you've been in rehab several times I was myself until it worked but it worked eventually and I really really think the same can happen for you,Normalizing
"I'm sorry to hear that, John. Have you tried applying ice to the affected area to reduce swelling and pain? Additionally, you might want to consider elevating your foot to help with the swelling. If the pain persists, it might be best to schedule an appointment with your primary care physician or a specialist to further assess the injury.",Normalizing
"I understand. It sounds like you're feeling uncertain about your ability to quit and concerned about the difficulty of the process. It's important to acknowledge that quitting can be tough and it's common to have doubts. However, it's also important to remember that you have taken steps towards quitting and it's not impossible. Let's talk more about what specifically is making you feel unsure and see if there are any strategies we can work on together to help you feel more confident.",Normalizing
"That's definitely a positive step in the right direction. Cutting down can be a good starting point. Let's explore some strategies that have worked for you in the past to help you cut down and eventually quit altogether. We can also address any underlying emotions or behaviors that may be contributing to your smoking behavior. Together, we can develop a plan that works best for you. It's important to remember that change takes time and it's okay if the process is slow. The most important thing is that you feel comfortable and confident in your progress.",Normalizing
"I hear you, Rachel. It sounds like you are highly motivated to make this change for your own health and to prevent any potential health issues in the future. What steps have you already taken towards this goal, and what do you think is holding you back from reaching it?",Normalizing
"I can definitely understand why past failures would make you feel less confident. It's important to remember though, that just because past attempts haven't worked, it doesn't mean that you're doomed to fail this time. We can work together to come up with a plan that is more sustainable and achievable for you. Let's focus on setting small, realistic goals and celebrating your progress along the way.",Normalizing
"I hear you, it sounds like taking care of your body is a top priority for you and you want to ensure that your drinking habits align with that. It's important to keep in mind that making changes to your drinking habits can be a gradual process and it's okay if it takes some time to get where you want to be. Have you considered setting specific goals for yourself or potentially seeking additional support, like a therapist or support group?",Normalizing
"Great, it sounds like you have a clear idea of what you want to achieve and how you would like to go about it. Remember, making changes can be challenging, but with a plan in place and the right support, it is definitely achievable. How can I support you in your journey towards cutting down on your drinking?",Normalizing
It sounds like your anger is manifesting physically in your body. It's not uncommon for emotions to be felt physically in our bodies. I'm wondering if we can work together to find some ways to manage your anger so that it doesn't take over and cause physical discomfort for you? Would you be open to exploring some coping strategies with me?,Normalizing
"It's important to recognize that while anger is a natural and valid emotion, it's important to find healthy ways to express it. Acting out on our anger can often lead to negative consequences and create more problems than solutions. It's okay to feel angry, but finding ways to cope and manage that anger can be beneficial for your overall wellbeing. Would you like to explore some coping strategies for managing your anger in a healthier way?",Normalizing
absolutely I understand your frustration try to stick with it you know because it is important we lower your cholesterol but like I said if you start to notice any muscle pain let your doctor know there's other options he may be able to switch you and most people do do just fine on it,Problem-Solving
I did have some auto refills for you in the pharmacy unfortunately to return to stock since you weren't able to pick them up but if you give me twenty minutes I can get them all ready for you,Problem-Solving
great well here's a risk assessment form it's just a few questions that might help us figure out what the problem might be,Problem-Solving
have you ever considered maybe talking to your boss I'll moving the candy jar from the table to maybe an instant table next to the door or something so it's out of reach,Problem-Solving
you're saying um you also mentioned that you know you go to the bar with your boyfriend a lot do you think that there's any alternative things you guys can do together like possibly like go to the library and son together or you know just kind of have like i annoy you to stay in on the weekends instead of going out,Problem-Solving
I guess what I'd be wondering is whether one of the approaches we need to be using now is thinking about what you do with your life and what you do with your day and maybe trying to bring back some of those pleasurable things you know even if it's just meeting up with your female friends once a week and whether actually doing those sorts of things might generally improve your quality of life I'm also thinking about the tablets that you're taking and the fact that you you seem to be taking quite a lot of them and wondering whether it's worth for sitting and looking at them and maybe trying to rationalize them a little bit and really decide which are helping you which are doing nothing and which may actually be making some of your symptoms worse I guess,Problem-Solving
okay so to recap changing your medication you're willing to go to the gym and exercise switch to light beer and keep the beer to a maximum of two a day okay now only you can make that decision Michael I can't do it for you is that somewhere that you're willing to go,Problem-Solving
okay if it's okay let's go back to talking about the counseling for a minute and then we can hit some of those other things too,Problem-Solving
That's a great idea. It sounds like this image can be a helpful tool for you to manage your anxiety during Black Friday. Is there anything else that you'd like to talk about or any other concerns that you have?,Problem-Solving
"Okay, I can understand how painful injections can impact your daily life. It's important to let your doctor know about your concerns and any pain you're experiencing with the injections. They may be able to provide some tips or alternatives to make the injections more comfortable for you. Additionally, it's important to follow the prescribed instructions for using insulin to ensure that it is effectively managing your blood sugar levels and preventing complications. Let's refill your prescription for now and I will provide you with resources to help you manage your pain and use the insulin as prescribed.",Problem-Solving
"Absolutely, I understand. However, it's important to have open and honest communication with your doctor about any changes to your medication regimen or concerns you have. It might be worth scheduling a follow-up appointment with your doctor to discuss your insulin injections and any pain you are experiencing so they can provide guidance on proper usage and potential pain management strategies. In the meantime, I'll go ahead and refill your prescription and we can work on finding ways to make the injections more comfortable for you.",Problem-Solving
"so maybe it's worth scheduling an appointment with your doctor to discuss some options to make the insulin injections less painful and find ways to incorporate it into your daily routine that works better for you. Remember, taking care of your health is important and I'm here to support you in any way that I can.",Problem-Solving
"Great, I can discuss some techniques with you to make the injections less painful. We can also talk about the benefits of using insulin regularly and how it can help to improve your overall health. It might also be helpful to schedule an appointment with your doctor soon to discuss how you've been using the insulin and any concerns you have about the pain. Would that be something you're interested in?",Problem-Solving
"I'm sorry to hear that, John. Have you tried applying ice to the affected area to reduce swelling and pain? Additionally, you might want to consider elevating your foot to help with the swelling. If the pain persists, it might be best to schedule an appointment with your primary care physician or a specialist to further assess the injury.",Problem-Solving
"I understand how that can be confusing, John. It's important to note that ibuprofen is a nonsteroidal anti-inflammatory drug that can have negative effects on your kidneys, particularly when used for an extended period of time. Taking it sparingly may be okay, but I do want to suggest having a conversation with your doctor about other pain management options that might be better for you in the long run. It's always best to err on the side of caution when it comes to your health.",Problem-Solving
"Okay, I recommend putting ice on it for about 20 minutes at a time, every few hours. For the pain, I suggest taking acetaminophen instead of ibuprofen. This will be easier on your kidneys and not impact your recovery. Also, I want to schedule you for a follow-up appointment with your primary care physician to ensure your kidneys are still doing okay. How does that sound?",Problem-Solving
"Absolutely, John. It's important to prioritize your health and well-being. We can always explore alternative pain management options that won't harm your kidneys. Additionally, I highly recommend speaking with your doctor to discuss any concerns or questions you may have about your medications and their potential interactions. Would you like me to make a note to follow up with you on this during our next session?",Problem-Solving
"That's definitely a positive step in the right direction. Cutting down can be a good starting point. Let's explore some strategies that have worked for you in the past to help you cut down and eventually quit altogether. We can also address any underlying emotions or behaviors that may be contributing to your smoking behavior. Together, we can develop a plan that works best for you. It's important to remember that change takes time and it's okay if the process is slow. The most important thing is that you feel comfortable and confident in your progress.",Problem-Solving
"Oh, I see. It sounds like the taste of the gum was a challenge for you. There are many different types of nicotine replacement options available. Perhaps we could explore some alternatives that might work better for you. Have you considered trying patches or lozenges? Or maybe a different brand of gum that has a different flavor?",Problem-Solving
"I can definitely understand why past failures would make you feel less confident. It's important to remember though, that just because past attempts haven't worked, it doesn't mean that you're doomed to fail this time. We can work together to come up with a plan that is more sustainable and achievable for you. Let's focus on setting small, realistic goals and celebrating your progress along the way.",Problem-Solving
"Okay, that makes a lot of sense. It sounds like learning more about how to use gym equipment could really boost your confidence. Have you thought about maybe scheduling a session with a personal trainer who can show you how to use different machines and equipment? That could be a great place to start and help you feel more comfortable in the gym. Additionally, are there any other areas where you feel like you need some support or guidance in your weight loss journey?",Problem-Solving
it's important to note that alcohol is sort of a temporary solution to help relax and enjoy the party atmosphere. It's also important to remember to drink responsibly and in moderation. Would you be open to discussing some strategies or alternatives to drinking at parties that would still allow you to have fun and feel included in the group?,Problem-Solving
"Okay, so it sounds like alcohol can help you relax and have fun with your friends but you also recognize that excessive drinking can have negative consequences. Have you ever experienced any negative consequences or witnessed them in others due to alcohol use?",Problem-Solving
"I hear you, it sounds like taking care of your body is a top priority for you and you want to ensure that your drinking habits align with that. It's important to keep in mind that making changes to your drinking habits can be a gradual process and it's okay if it takes some time to get where you want to be. Have you considered setting specific goals for yourself or potentially seeking additional support, like a therapist or support group?",Problem-Solving
That's great to hear that you have confidence in yourself to make the necessary changes. It sounds like you're aware of the risks involved with excessive drinking and value respecting your body and your goals for the future. Let's continue to work together on finding ways to limit your drinking while still having fun and feeling connected with others. Have you thought about reaching out to your friends and discussing these goals with them to see if they would be willing to support you in this journey?,Problem-Solving
"Great, we can definitely set up another appointment in a couple of weeks to check on your progress towards your goals. In the meantime, it might be helpful to start thinking about specific activities or events you could participate in that don't revolve around drinking. You could also try reaching out to your friends and discussing how you feel and maybe even finding some non-drinking buddies to join you in some activities. Remember, you can always refer back to your goal and your reasons for cutting down on drinking as motivation to stay on track.",Problem-Solving
"I see, have you been experiencing any pain or sensitivity in that tooth? It's important to address dental issues as soon as possible to prevent further damage. I recommend scheduling an appointment with your dentist to have it checked out. In the meantime, there are some temporary measures you can take to ease any discomfort such as practicing good oral hygiene and avoiding hard or sticky foods. How does that sound to you?",Problem-Solving
"I see. It's important to take care of tooth decay or cavities as soon as possible to prevent further damage. Have you made an appointment with your dentist to have it checked? They can assess the severity of the cavity and recommend the best course of treatment. In the meantime, it's also important to practice good oral hygiene by brushing and flossing regularly and avoiding sugary or acidic foods and drinks. Is there anything else you would like to talk about or any other concerns you have regarding your oral health?",Problem-Solving
"Yes, that's correct. Soft drinks and other sugary or acidic drinks can contribute to tooth decay by producing harmful acids that erode the enamel on your teeth. It's important to limit your consumption of these types of drinks and if you do have them, it's best to have them with a meal instead of in between meals. Additionally, brushing your teeth twice a day and flossing once a day can also help prevent tooth decay. Would you be willing to try cutting back on your soft drink consumption and incorporating these habits into your daily routine?",Problem-Solving
"It's understandable that giving up soft drinks can be challenging. However, cutting back on soft drinks is a significant step forward towards healthier teeth. You can try substituting soft drinks with water or herbal tea or drinking them only during meal times. Additionally, it's crucial to brush your teeth twice a day, floss daily, and visit a dentist regularly to maintain good oral health. We can slowly work towards reducing your soft drink consumption and improving your overall dental health as we move forward with your treatment.",Problem-Solving
"Okay, one option could be to switch to sugar-free drinks, such as water, or to limit your consumption of soft drinks to once a day during a meal. Another option could be to sip on soft drinks through a straw, as this can help reduce the amount of contact between the drink and your teeth. It's important to also maintain good oral hygiene by brushing twice a day and flossing daily. Would you be willing to try any of these options?",Problem-Solving
"That's a great plan, Lucy. And in addition to that, you could also try to swap out soft drinks for water or unsweetened beverages throughout the day. It's also important to make sure you're brushing twice a day and flossing daily to help prevent any further dental decay. I can also refer you to a dentist to get that filling taken care of if you'd like. Does that sound good to you?",Problem-Solving
"That's a great idea. Staying hydrated with water is important for your overall health, including your dental health. It's also a great way to keep yourself from reaching for a soft drink when you're thirsty. You could also try snacking on foods that are less harmful to your teeth, such as fruits or vegetables instead of reaching for candy or sugary snacks. How does that sound?",Problem-Solving
"That's a good plan. Remember, small changes can make a big difference in your oral health. If you have any further concerns or questions, please don't hesitate to ask. And make sure to schedule your filling appointment as soon as possible to take care of that hole in your tooth.",Problem-Solving
so it sounds like you really want to go to Black Friday with your friends you're feeling a little anxious about it,Reflections on Emotions
and you feel like that's really impacting your day,Reflections on Emotions
so Jane it sounds like you're angry with your supervisor would what would I be right in saying that,Reflections on Emotions
so your workplace just went smoke free you're not too pleased huh,Reflections on Emotions
absolutely I understand your frustration try to stick with it you know because it is important we lower your cholesterol but like I said if you start to notice any muscle pain let your doctor know there's other options he may be able to switch you and most people do do just fine on it,Reflections on Emotions
so you're anxious right here with me,Reflections on Emotions
you don't feel anything at all now,Reflections on Emotions
mm-hmm you really value your self and your well-being and in your spirit and it sounds like you don't feel like you're taking good care of yourself by staying in this relationship and even though things started out well they haven't turned out to be the kind of relationship that you want for yourself no but you know but she's lovely,Reflections on Emotions
and it sounds like you're smoking setting an example those are some things that that you're also a bit concerned about but as you said earlier not not really ready to put down your cigarettes immediately,Reflections on Emotions
okay I hear you so on one hand you feel confident that you're able to manage this home course load and the stress level and on the other hand you're unsure because you don't have the same social support it's like you did back home,Reflections on Emotions
so it seems like you're kind of conflicted about what's going on you know I'm hear you say that you got sick and it wasn't really big deal but it seems like your parents may have been your opinion overreacted,Reflections on Emotions
okay so you'd be embarrassed if you couldn't do the certain poses and how would you feel if you could do all the poses in the class,Reflections on Emotions
you've given me a lot of information so far but some of the things that have brought you here ma'am you've talked about not have been missing job opportunities you've talked about getting irritable and Anastas and um it being different and even hurting people that you love you've also mentioned that you've been drinking a bit more partying a bit more and also using some cocaine and I'm wondering what would it be helpful for you to focus on today if and what would be good for you to talk about now,Reflections on Emotions
okay so Dana I'm hearing you say that running brings you a really great sense of calmness would this be something we could set as maybe homework for next time like in between our next session now in our next session for you to try running again to replace the calmness smoking brings to you,Reflections on Emotions
well so Linda what I'm hearing you say is that it's actually very important for you to exercise but on the other hand you are not that confidence to actually start a success is that true,Reflections on Emotions
you decided to drink more than you intended because you were disappointed at how the Vikings were playing and when your roommate couldn't give you a ride home you decided to drive yourself home did I get that right,Reflections on Emotions
yeah totally okay so if I'm hearing this correctly you seem really frustrated because your dad is always making you do things like chores and making you you go with him to places that you don't really want to go to is that right,Reflections on Emotions
maybe there'll be things you'll feel good about later you won't have to worry about that guilty feeling coming back,Reflections on Emotions
um telling me would have been great but that's okay I mean you had a concern about a medication that you dread some things about and you stopped the medication I think that's a good thing that's a good decision,Reflections on Emotions
I think I think your life you know pain does not necessarily mean that there's a physical problem it sometimes just means that the brain is perceiving a threat and that something needs to change there are many other things I played two white pain comes about for example how much stress you're under your productivity level much sleep you're getting your emotional health they all play a big role as well you know if one aspect of your lifestyle is not deemed healthy then it can certainly make you more sensitive to experiencing pain I think you touched on an important point earlier when you said that you didn't feel physically ready to jump back into playing pickup basketball with your friends after sitting for long periods of time throughout the day does this make sense to you,Reflections on Emotions
"I understand that you're feeling anxious about the upcoming Black Friday and the pressure from your friends to go to the mall. It sounds like you have conflicting feelings about going, but also feel like you can't. Can you tell me more about why you feel like you can't go? And what's important to you about going to the mall on Black Friday? Let's explore these thoughts and feelings together.",Reflections on Emotions
"I understand, it sounds like your initial experience with injecting everyday was painful and uncomfortable. It's important to make sure that you're following your healthcare provider's recommendations for your insulin use, but I also want to make sure we address the pain you're experiencing. Have you talked to your healthcare provider about any strategies to make the injections more comfortable?",Reflections on Emotions
"I understand how that can be confusing, John. It's important to note that ibuprofen is a nonsteroidal anti-inflammatory drug that can have negative effects on your kidneys, particularly when used for an extended period of time. Taking it sparingly may be okay, but I do want to suggest having a conversation with your doctor about other pain management options that might be better for you in the long run. It's always best to err on the side of caution when it comes to your health.",Reflections on Emotions
It's understandable to have doubts and uncertainty about quitting. Can you tell me more about what's making you feel this way? Have you tried quitting before and experienced difficulties or setbacks? Do you feel like you have the support and resources you need to successfully quit? Let's explore and address any concerns you have so that we can work towards a plan that feels achievable and sustainable for you.,Reflections on Emotions
"I understand. It sounds like you're feeling uncertain about your ability to quit and concerned about the difficulty of the process. It's important to acknowledge that quitting can be tough and it's common to have doubts. However, it's also important to remember that you have taken steps towards quitting and it's not impossible. Let's talk more about what specifically is making you feel unsure and see if there are any strategies we can work on together to help you feel more confident.",Reflections on Emotions
"I understand where you're coming from. It sounds like you have a fear of failure and disappointment, but it's important to remember that quitting smoking is not about pleasing other people, it's about taking care of your own health and wellbeing. It's okay to have fears and doubts, but we can work together to find ways to overcome them and build your confidence. Is there anything specific that is making you feel unprepared or unsure about quitting?",Reflections on Emotions
It sounds like you're feeling a lot of concern about your own health in relation to your family history. That's really understandable. Have you talked to your sister about her experiences with weight management and her health concerns? It might be helpful to have her support as you work towards your own goals.,Reflections on Emotions
okay so it sounds like you've had that experience yourself and it wasn't a very pleasant experience and you've learned from it but you still have friends who perhaps drink too much and require some care-taking and that can be difficult for you to handle at times. It seems like you're aware of the risks and you're trying to be as safe as possible but there's still some challenges that come up with drinking. Would you say that's accurate?,Reflections on Emotions
"that can be really uncomfortable for you. Okay, well it seems like you have a really good understanding of sort of the positives and negatives of alcohol in your social scene and that you're trying to be safe and responsible about it. But it also seems like there are some concerns that you have about when things might go too far or when you end up having to take care of your friends. So is that something that you want to talk more about or is there something else that's been on your mind?",Reflections on Emotions
"That's a very positive attitude to have. It sounds like you're ready to make some changes and take control of your drinking habits. It can be challenging to make changes, but it sounds like you have a good support system in your friends who share similar goals. Would you like to discuss some strategies that can help you achieve your goal of cutting back on your drinking?",Reflections on Emotions
Can you tell me more about what specifically is causing you to feel angry towards your supervisor? Is there something they said or did that upset you? It can be helpful for us to explore the root of these emotions.,Reflections on Emotions
"I see, so it sounds like the argument with your mom really triggered some intense emotions in you, and you needed some space to cool down. And accidentally knocking over your mom's favorite picture added to the stress and frustration you were already feeling. Have you thought about any ways to cope with those intense emotions in the moment, like taking deep breaths or going for a walk?",Reflections on Emotions
It sounds like your anger is manifesting physically in your body. It's not uncommon for emotions to be felt physically in our bodies. I'm wondering if we can work together to find some ways to manage your anger so that it doesn't take over and cause physical discomfort for you? Would you be open to exploring some coping strategies with me?,Reflections on Emotions
"It's important to recognize that while anger is a natural and valid emotion, it's important to find healthy ways to express it. Acting out on our anger can often lead to negative consequences and create more problems than solutions. It's okay to feel angry, but finding ways to cope and manage that anger can be beneficial for your overall wellbeing. Would you like to explore some coping strategies for managing your anger in a healthier way?",Reflections on Emotions
well your health is something you have to make time for. Have you at least been taking your diabetic medications?,Questions on Experiences
so Jane it sounds like you're angry with your supervisor would what would I be right in saying that,Questions on Experiences
so independence and privacy were important to you in terms of you know what you value in your life so when you think about independence and you think about privacy where do you see cutting impacting that like how does that fit with those two things how does cutting fit with independence why don't we start there,Questions on Experiences
have you ever considered maybe talking to your boss I'll moving the candy jar from the table to maybe an instant table next to the door or something so it's out of reach,Questions on Experiences
you're saying um you also mentioned that you know you go to the bar with your boyfriend a lot do you think that there's any alternative things you guys can do together like possibly like go to the library and son together or you know just kind of have like i annoy you to stay in on the weekends instead of going out,Questions on Experiences
I guess what I'd be wondering is whether one of the approaches we need to be using now is thinking about what you do with your life and what you do with your day and maybe trying to bring back some of those pleasurable things you know even if it's just meeting up with your female friends once a week and whether actually doing those sorts of things might generally improve your quality of life I'm also thinking about the tablets that you're taking and the fact that you you seem to be taking quite a lot of them and wondering whether it's worth for sitting and looking at them and maybe trying to rationalize them a little bit and really decide which are helping you which are doing nothing and which may actually be making some of your symptoms worse I guess,Questions on Experiences
okay so to recap changing your medication you're willing to go to the gym and exercise switch to light beer and keep the beer to a maximum of two a day okay now only you can make that decision Michael I can't do it for you is that somewhere that you're willing to go,Questions on Experiences
and how do you feel your implants working for that,Questions on Experiences
it's kind of everyday sort of thing okay tell me a little bit about your family,Questions on Experiences
do you think if you do what are some options that you see you may have preparing yourself to get the assignments done,Questions on Experiences
how confident are you that you could actually change or you're drinking or even cut down or quit,Questions on Experiences
so I'm hearing there are some things you really like about smoking what about the other side can you tell me about some of the not-so-good things,Questions on Experiences
and can you clarify for me one more time the kind of pleasure you get from eating candy,Questions on Experiences
on a scale of zero to ten in terms of how important you feel they need to exercise zero being not important and 10 being very important how important do you think exercises to you,Questions on Experiences
what would you think about trying that slightly different approach for say two or three months just to see whether or not it makes any difference,Questions on Experiences
well so Linda what I'm hearing you say is that it's actually very important for you to exercise but on the other hand you are not that confidence to actually start a success is that true,Questions on Experiences
you decided to drink more than you intended because you were disappointed at how the Vikings were playing and when your roommate couldn't give you a ride home you decided to drive yourself home did I get that right,Questions on Experiences
okay good good so what are you saying correct me if I'm wrong is you think that logging your sugar intake is going to help you see on top of the way you feel after you eat candy how much can you you're actually eating,Questions on Experiences
so I five believes so if I understand it correctly you're considering to make that change because you don't want to develop a chronic illness later on the life in essentially avoiding conflict with your mother is that correct,Questions on Experiences
so given that what you just told me do you think that the food is contributing to your weight gain',Questions on Experiences
so given that what you just told me do you think that the food is contributing to your weight gain',Questions on Experiences
do you think it is well I hope that through our work together you'll be able to decide that for yourself hmm and my hope in our process is that that we could be partners and thinking about that together and what what work might look like for you in your life and how it might fit in for you how does that sound,Questions on Experiences
okay so we've talked about where you are in terms of wanting change we talked about where you act as far as feeling confident in change we also discussed a little bit about the reasons why you want to change the three reasons you mentioned your mom you mentioned for yourself you mentioned your health in the session we also discussed some avenues that you may take in terms of getting that support that you want we talked about your belief system a little bit we talked about church we talked about referrals in places that you may be interested in so you talked about a lot and I want to hear from you how is this going for you how how was the session been going for you in the past the last session that we had before,Questions on Experiences
nothing bad okay okay what Mina in my opinion I believe you're you're exactly right no as you well know I mean the the the journey to quitting smoking is very difficult but if you think about it you yourself you were able to quit for almost a year now you were able to quit for nine months so just as you were able to quit during your pregnancy for the sake of the kids you know you can use that same sort of energy to want to have the desire to quit for the sake of your own health in order to see your kids grow up to be you know healthy individuals also okay and that's and that's really something to think about so I guess my next question for you miss Fisher would be more like a scenario question so if you can kind of roll with me on that on the scale of one to ten how important is it for you to consider thinking about quitting smoking sooner rather than later with one being not important at all or ten being the utmost and most important,Questions on Experiences
so you felt fatigued and somewhat depressed while you were on the Atkins diet that's something I hear not yeah pretty it's pretty often I think that if it's okay we could talk about that for a minute if that's something,Questions on Experiences
no it's actually fairly common but I appreciate you sharing this with I know it's difficult say I'm going to continue on some some other questions appreciate your patience all these these questions and you've been forthcoming with your answers I want to ask you some questions about a possible mood disturbances because this event do you ever find yourself unable to remember having trouble would remember important aspects of the trauma how about negative beliefs or expectations about yourself or others maybe kind of changing your attitude and the way you're relating to the world or yourself if you find yourself having distorted thinking that we kind of blame kind of blame yourself even though you clearly weren't responsible for it,Questions on Experiences
what do you feel about the possibility of doing some of that thinking and looking in with another person I hear you clearly saying I don't need you know help I don't need therapy I don't need treatment of any kind but I'm thinking about the exploration area of that and whether or not you have thoughts on how helpful it might be to sit down and be able to sort of chat with somebody about the connection between the alcohol issue and the anger issue and coming back from the war issue and that kind of thing,Questions on Experiences
so I don't know how much you know already about sort of my role here and why you're even here so I thought I'd start by telling you a little bit about myself basically my job is to meet with all of the students I meet with everybody about once or twice a semester and just talk with you a little bit about how things are going different behaviors that you might be engaging in and thinking about any changes you might want to make for your life if you decide that you do it's not my job to change you I couldn't even if I wanted to that's not my role at all it's really to help you think about you know how things are going for you and how you might like making changes or moving forward that sound okay all right so why don't we start by you telling me a little bit about yourself,Questions on Experiences
okay and that's exactly one of the symptoms of nicotine withdrawal that I'm looking to stop happen to you so I would strongly recommend that you have the patch talk about how to use it and that we have another product that I leave you to use as when any of those feelings of irritation coming out that typically in that first week so you're happy with the date for me okay would you like to come back and see me again other and what would you like me to do if you don't come back,Questions on Experiences
